Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0177979464849457,0.000538048586898219,0.247347237185121,0,0,0,12.5511194854309,2.01207833115377,-7.24906198157873E-05,0.0652079892507441,2.0444694587474,-8.34871489593968E-05,0.388198283755921,0,0,0,0,0,0,package://yarab_5/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://yarab_5/meshes/base_link.STL,,basee-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_L,3.58977152174755E-05,-0.0933556156134252,0.0021813425559376,0,0,0,2.99044475086497,0.00468622546229743,-2.82119002459596E-09,5.07703394208764E-19,0.00841310912843933,1.06021846396643E-19,0.00468622456991061,0,0,0,0,0,0,package://yarab_5/meshes/wheel_L.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://yarab_5/meshes/wheel_L.STL,,Wheel-in-1,Origin_wheel_Lj,Axis_wheel_Lj,wheel_Lj,continuous,-0.215,-0.17244,-0.060181,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_R,1.82631687550838E-14,0.0933556156134264,0.00221724027113601,0,0,0,2.99044475086498,0.00468622456991062,-2.60240363527205E-17,4.170468326163E-19,0.00841310912843934,2.82119002472443E-09,0.00468622546229744,0,0,0,0,0,0,package://yarab_5/meshes/wheel_R.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://yarab_5/meshes/wheel_R.STL,,Wheel-in-2,Origin_wheel_Rj,Axis_wheel_Rj,wheel_Rj,continuous,-0.215,0.17356,-0.060181,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
caster,0.0343540178179281,-0.00804234578799452,-0.035721628705299,0,0,0,1.81765554433287,0.00201711990339206,1.59053007025258E-17,4.29492932718007E-18,0.00341060325818899,-2.06565000779944E-17,0.00181229640803809,0,0,0,0,0,0,package://yarab_5/meshes/caster.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://yarab_5/meshes/caster.STL,,Assembly1_Shrinkwrap_1-1,Origin_caster_joint,,caster_joint,fixed,0.18065,0.0091028,-0.043699,0,0,0,base_link,0,0,0,,,,,,,,,,,,
body,-0.0384918724857681,0.00178552458421267,0.159935059228738,0,0,0,1.91202002917265,0.00273303625317548,-2.06285913284317E-07,9.2959308530691E-06,0.0016531430085364,0.000101386942419808,0.00140674846336726,0,0,0,0,0,0,package://yarab_5/meshes/body.STL,1,1,1,0.32,0,0,0,0,0,0,package://yarab_5/meshes/body.STL,,body-2,Origin_body_link,,body_link,fixed,-0.0050417,0.0013268,1.0235,0,0,0,base_link,0,0,0,,,,,,,,,,,,
omo_L,0.0212694318696867,-0.00566332804666483,-0.0426371813176138,0,0,0,0.135697540457828,0.000162318927052278,1.60919051595649E-06,-1.98518662725654E-05,0.00025396441224876,-1.2910748790188E-06,0.000106851321139916,0,0,0,0,0,0,package://yarab_5/meshes/omo_L.STL,1,1,1,0.32,0,0,0,0,0,0,package://yarab_5/meshes/omo_L.STL,,leftpivcenterv3prt-1,Origin_omo_Lj,Axis16,omo_Lj,revolute,-0.061433,-0.14191,0.29478,0,0,0,body,-1,0,0,10,3,0,0,,,,,,,,
shouder_L,0.0183588183182291,-0.0444633939975331,-0.0145068599892659,0,0,0,0.31191383251679,0.000309456989034,-1.06190992090652E-05,-4.05071828768625E-05,0.000255452213653355,-1.22821429542959E-05,0.000321418688570605,0,0,0,0,0,0,package://yarab_5/meshes/shouder_L.STL,1,1,1,0.32,0,0,0,0,0,0,package://yarab_5/meshes/shouder_L.STL,,shoulder1aL-1,Origin_shouder_Lj,Axis_shouder_Lj,shouder_Lj,revolute,0.02799,-0.016748,-0.038733,0,0,0,omo_L,0,-1,0,10,3,0,0,,,,,,,,
rotate_L,-0.0224626093094605,0.00163329475110996,0.00453035237775867,0,0,0,0.262977284557384,0.000292121426480082,1.27284282685936E-05,-5.61396756699046E-05,0.000387783560790661,1.90160846953877E-05,0.00019359045472725,0,0,0,0,0,0,package://yarab_5/meshes/rotate_L.STL,1,1,1,0.32,0,0,0,0,0,0,package://yarab_5/meshes/rotate_L.STL,,becipaspart-2,Origin_rotate_Lj,Axis_rotate_Lj,rotate_Lj,revolute,0.10354,-0.067278,-0.11868,0,0,0,shouder_L,0.65912,-0.004428,-0.75202,10,3,0,0,,,,,,,,
hand_L,0.0559447876925415,-0.00779673969551703,-0.0745916479393384,0,0,0,0.327188298164344,0.000520434460456842,-4.17781288930706E-05,-1.51804077844164E-05,0.000384452370934889,-3.254421297706E-05,0.000530459987533421,0,0,0,0,0,0,package://yarab_5/meshes/hand_L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://yarab_5/meshes/hand_L.STL,,Righthandd-1,Origin_hand_Lj,Axis_hand_Lj,hand_Lj,revolute,0.048896,0.0048821,-0.12843,0,0,0,rotate_L,0.087987,0.99357,0.071267,10,3,0,0,,,,,,,,
rest_L,0.0188857218020566,-0.00412551389833113,-0.0184291003042329,0,0,0,0.185026014260809,8.71300457283702E-05,6.89250490012657E-06,2.83671209013227E-05,7.62808725553407E-05,-1.80128983377849E-05,5.53607594891623E-05,0,0,0,0,0,0,package://yarab_5/meshes/rest_L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://yarab_5/meshes/rest_L.STL,,Rightfing-1,Origin_rest_Lj,Axis_rest_Lj,rest_Lj,revolute,0.18924,-0.010997,-0.2897,0,0,0,hand_L,-0.53136,-0.013701,0.84704,10,3,0,0,,,,,,,,
omo_R,-0.0524232487351919,0.00286389736088846,-0.043731423271426,0,0,0,0.135697540430682,0.000162318941282968,-1.84283661019144E-06,-1.98315403742906E-05,0.000253974415932807,-4.41583946421858E-07,0.000106841331671834,0,0,0,0,0,0,package://yarab_5/meshes/omo_R.STL,1,1,1,0.32,0,0,0,0,0,0,package://yarab_5/meshes/omo_R.STL,,rightpivcenterv3prt-1,Origin_omo_Rj,Axis_omo_Rj,omo_Rj,revolute,0.012259,0.14242,0.29589,0,0,0,body,-1,0,0,10,3,0,0,,,,,,,,
